CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
      0,   1,               596,             571,              0,
     28,   2,               222,             197,              0,
     56,   3,               123,              98,              0,
     84,   4,               209,             184,              0,
    112,   5,               609,             584,              0,
    140,   6,               814,             789,              0,
    168,   7,               204,             179,              0,
    196,   8,               308,             283,              0,
    224,   9,               333,             308,              0,
    252,   1,               571,             546,              0,
    280,   2,               197,             172,              0,
    308,   3,                98,              73,              0,
    336,   4,               184,             159,              0,
    364,   5,               584,             559,              0,
    392,   6,               789,             764,              0,
    420,   7,               179,             154,              0,
    448,   8,               283,             258,              0,
    476,   9,               308,             283,              0,
    504,   1,               546,             521,              0,
    532,   2,               172,             147,              0,
    560,   3,                73,              48,              0,
    588,   4,               159,             134,              0,
    616,   5,               559,             534,              0,
    644,   6,               764,             739,              0,
    672,   7,               154,             129,              0,
    700,   8,               258,             233,              0,
    728,   9,               283,             258,              0,
    756,   1,               521,             496,              0,
    784,   2,               147,             122,              0,
    812,   3,                48,              23,              0,
    840,   4,               134,             109,              0,
    868,   5,               534,             509,              0,
    896,   6,               739,             714,              0,
    924,   7,               129,             104,              0,
    952,   8,               233,             208,              0,
    980,   9,               258,             233,              0,
   1008,   1,               496,             471,              0,
   1036,   2,               122,              97,              0,
   1064,   3,                23,               0,           1087,
   1090,   9,               233,             208,              0,
   1118,   1,               471,             446,              0,
   1146,   2,                97,              72,              0,
   1174,   4,               109,              84,              0,
   1202,   5,               509,             484,              0,
   1230,   6,               714,             689,              0,
   1258,   7,               104,              79,              0,
   1286,   8,               208,             183,              0,
   1314,   9,               208,             183,              0,
   1342,   1,               446,             421,              0,
   1370,   2,                72,              47,              0,
   1398,   4,                84,              59,              0,
   1426,   5,               484,             459,              0,
   1454,   6,               689,             664,              0,
   1482,   7,                79,              54,              0,
   1510,   8,               183,             158,              0,
   1538,   9,               183,             158,              0,
   1566,   1,               421,             396,              0,
   1594,   2,                47,              22,              0,
   1622,   4,                59,              34,              0,
   1650,   5,               459,             434,              0,
   1678,   6,               664,             639,              0,
   1706,   7,                54,              29,              0,
   1734,   8,               158,             133,              0,
   1762,   9,               158,             133,              0,
   1790,   1,               396,             371,              0,
   1818,   2,                22,               0,           1840,
   1843,   6,               639,             614,              0,
   1871,   7,                29,               4,              0,
   1899,   8,               133,             108,              0,
   1927,   9,               133,             108,              0,
   1955,   1,               371,             346,              0,
   1983,   4,                34,               9,              0,
   2011,   5,               434,             409,              0,
   2039,   6,               614,             589,              0,
   2067,   7,                 4,               0,           2071,
   2074,   6,               589,             564,              0,
   2102,   8,               108,              83,              0,
   2130,   9,               108,              83,              0,
   2158,   1,               346,             321,              0,
   2186,   4,                 9,               0,           2195,
   2198,   1,               321,             296,              0,
   2226,   5,               409,             384,              0,
   2254,   6,               564,             539,              0,
   2282,   8,                83,              58,              0,
   2310,   9,                83,              58,              0,
   2338,   1,               296,             271,              0,
   2366,   5,               384,             359,              0,
   2394,   6,               539,             514,              0,
   2422,   8,                58,              33,              0,
   2450,   9,                58,              33,              0,
   2478,   1,               271,             246,              0,
   2506,   5,               359,             334,              0,
   2534,   6,               514,             489,              0,
   2562,   8,                33,               8,              0,
   2590,   9,                33,               8,              0,
   2618,   1,               246,             221,              0,
   2646,   5,               334,             309,              0,
   2674,   6,               489,             464,              0,
   2702,   8,                 8,               0,           2710,
   2713,   9,                 8,               0,           2721,
   2724,   5,               309,             284,              0,
   2752,   6,               464,             439,              0,
   2780,   1,               221,             196,              0,
   2808,   5,               284,             259,              0,
   2836,   6,               439,             414,              0,
   2864,   1,               196,             171,              0,
   2892,   5,               259,             234,              0,
   2920,   6,               414,             389,              0,
   2948,   1,               171,             146,              0,
   2976,   5,               234,             209,              0,
   3004,   6,               389,             364,              0,
   3032,   1,               146,             121,              0,
   3060,   5,               209,             184,              0,
   3088,   6,               364,             339,              0,
   3116,   1,               121,              96,              0,
   3144,   5,               184,             159,              0,
   3172,   6,               339,             314,              0,
   3200,   1,                96,              71,              0,
   3228,   5,               159,             134,              0,
   3256,   6,               314,             289,              0,
   3284,   1,                71,              46,              0,
   3312,   5,               134,             109,              0,
   3340,   6,               289,             264,              0,
   3368,   1,                46,              21,              0,
   3396,   5,               109,              84,              0,
   3424,   6,               264,             239,              0,
   3452,   1,                21,               0,           3473,
   3476,   6,               239,             214,              0,
   3504,   5,                84,              59,              0,
   3532,   6,               214,             189,              0,
   3560,   5,                59,              34,              0,
   3588,   6,               189,             164,              0,
   3616,   5,                34,               9,              0,
   3644,   6,               164,             139,              0,
   3672,   5,                 9,               0,           3681,
   3681,   6,               139,             114,              0,
   3706,   6,               114,              89,              0,
   3731,   6,                89,              64,              0,
   3756,   6,                64,              39,              0,
   3781,   6,                39,              14,              0,
   3806,   6,                14,               0,           3820,
