CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
      0,   1,               624,             574,              0,
     53,   2,               488,             438,              0,
    106,   3,               231,             181,              0,
    159,   4,               337,             287,              0,
    212,   5,               222,             172,              0,
    265,   6,               130,              80,              0,
    318,   7,               317,             267,              0,
    371,   8,               439,             389,              0,
    424,   9,               942,             892,              0,
    477,   1,               574,             524,              0,
    530,   2,               438,             388,              0,
    583,   3,               181,             131,              0,
    636,   4,               287,             237,              0,
    689,   5,               172,             122,              0,
    742,   6,                80,              30,              0,
    795,   7,               267,             217,              0,
    848,   8,               389,             339,              0,
    901,   9,               892,             842,              0,
    954,   1,               524,             474,              0,
   1007,   2,               388,             338,              0,
   1060,   3,               131,              81,              0,
   1113,   4,               237,             187,              0,
   1166,   5,               122,              72,              0,
   1219,   6,                30,               0,           1249,
   1252,   1,               474,             424,              0,
   1305,   2,               338,             288,              0,
   1358,   3,                81,              31,              0,
   1411,   4,               187,             137,              0,
   1464,   5,                72,              22,              0,
   1517,   7,               217,             167,              0,
   1570,   8,               339,             289,              0,
   1623,   9,               842,             792,              0,
   1676,   1,               424,             374,              0,
   1729,   2,               288,             238,              0,
   1782,   3,                31,               0,           1813,
   1816,   1,               374,             324,              0,
   1869,   2,               238,             188,              0,
   1922,   4,               137,              87,              0,
   1975,   5,                22,               0,           1997,
   2000,   7,               167,             117,              0,
   2053,   8,               289,             239,              0,
   2106,   9,               792,             742,              0,
   2159,   1,               324,             274,              0,
   2212,   2,               188,             138,              0,
   2265,   4,                87,              37,              0,
   2318,   7,               117,              67,              0,
   2371,   8,               239,             189,              0,
   2424,   9,               742,             692,              0,
   2477,   1,               274,             224,              0,
   2530,   2,               138,              88,              0,
   2583,   4,                37,               0,           2620,
   2623,   2,                88,              38,              0,
   2676,   7,                67,              17,              0,
   2729,   8,               189,             139,              0,
   2782,   9,               692,             642,              0,
   2835,   1,               224,             174,              0,
   2888,   2,                38,               0,           2926,
   2929,   7,                17,               0,           2946,
   2949,   8,               139,              89,              0,
   3002,   9,               642,             592,              0,
   3055,   1,               174,             124,              0,
   3108,   8,                89,              39,              0,
   3161,   9,               592,             542,              0,
   3214,   1,               124,              74,              0,
   3267,   8,                39,               0,           3306,
   3309,   9,               542,             492,              0,
   3362,   1,                74,              24,              0,
   3415,   9,               492,             442,              0,
   3468,   1,                24,               0,           3492,
   3492,   9,               442,             392,              0,
   3542,   9,               392,             342,              0,
   3592,   9,               342,             292,              0,
   3642,   9,               292,             242,              0,
   3692,   9,               242,             192,              0,
   3742,   9,               192,             142,              0,
   3792,   9,               142,              92,              0,
   3842,   9,                92,              42,              0,
   3892,   9,                42,               0,           3934,
