CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
      0,   4,               337,             287,              0,
     53,   5,               222,             172,              0,
    106,   6,               130,              80,              0,
    159,   2,               488,             438,              0,
    212,   7,               317,             267,              0,
    265,   1,               624,             574,              0,
    318,   2,               438,             388,              0,
    371,   2,               388,             338,              0,
    424,   3,               231,             181,              0,
    477,   3,               181,             131,              0,
    530,   2,               338,             288,              0,
    583,   7,               267,             217,              0,
    636,   9,               942,             892,              0,
    689,   7,               217,             167,              0,
    742,   2,               288,             238,              0,
    795,   2,               238,             188,              0,
    848,   3,               131,              81,              0,
    901,   6,                80,              30,              0,
    954,   6,                30,               0,            984,
    987,   2,               188,             138,              0,
   1040,   4,               287,             237,              0,
   1093,   3,                81,              31,              0,
   1146,   8,               439,             389,              0,
   1199,   3,                31,               0,           1230,
   1233,   2,               138,              88,              0,
   1286,   8,               389,             339,              0,
   1339,   7,               167,             117,              0,
   1392,   2,                88,              38,              0,
   1445,   4,               237,             187,              0,
   1498,   4,               187,             137,              0,
   1551,   7,               117,              67,              0,
   1604,   8,               339,             289,              0,
   1657,   8,               289,             239,              0,
   1710,   2,                38,               0,           1748,
   1751,   8,               239,             189,              0,
   1804,   8,               189,             139,              0,
   1857,   1,               574,             524,              0,
   1910,   5,               172,             122,              0,
   1963,   9,               892,             842,              0,
   2016,   9,               842,             792,              0,
   2069,   4,               137,              87,              0,
   2122,   5,               122,              72,              0,
   2175,   1,               524,             474,              0,
   2228,   4,                87,              37,              0,
   2281,   9,               792,             742,              0,
   2334,   9,               742,             692,              0,
   2387,   8,               139,              89,              0,
   2440,   7,                67,              17,              0,
   2493,   9,               692,             642,              0,
   2546,   8,                89,              39,              0,
   2599,   1,               474,             424,              0,
   2652,   4,                37,               0,           2689,
   2692,   8,                39,               0,           2731,
   2734,   7,                17,               0,           2751,
   2754,   9,               642,             592,              0,
   2807,   9,               592,             542,              0,
   2860,   9,               542,             492,              0,
   2913,   1,               424,             374,              0,
   2966,   9,               492,             442,              0,
   3019,   9,               442,             392,              0,
   3072,   9,               392,             342,              0,
   3125,   9,               342,             292,              0,
   3178,   5,                72,              22,              0,
   3231,   5,                22,               0,           3253,
   3256,   9,               292,             242,              0,
   3309,   1,               374,             324,              0,
   3362,   9,               242,             192,              0,
   3415,   9,               192,             142,              0,
   3468,   9,               142,              92,              0,
   3521,   9,                92,              42,              0,
   3574,   9,                42,               0,           3616,
   3616,   1,               324,             274,              0,
   3666,   1,               274,             224,              0,
   3716,   1,               224,             174,              0,
   3766,   1,               174,             124,              0,
   3816,   1,               124,              74,              0,
   3866,   1,                74,              24,              0,
   3916,   1,                24,               0,           3940,
