CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
      0,   6,               306,             256,              0,
     53,   8,               615,             565,              0,
    106,   8,               565,             515,              0,
    159,  11,               942,             892,              0,
    212,  11,               892,             842,              0,
    265,  15,               589,             539,              0,
    318,  19,               271,             221,              0,
    371,   8,               515,             465,              0,
    424,   4,               633,             583,              0,
    477,  12,               969,             919,              0,
    530,   7,               422,             372,              0,
    583,  19,               221,             171,              0,
    636,   3,               992,             942,              0,
    689,  11,               842,             792,              0,
    742,  19,               171,             121,              0,
    795,  16,               103,              53,              0,
    848,  19,               121,              71,              0,
    901,   5,               827,             777,              0,
    954,  16,                53,               3,              0,
   1007,   2,               972,             922,              0,
   1060,  15,               539,             489,              0,
   1113,  14,               764,             714,              0,
   1166,  19,                71,              21,              0,
   1219,   5,               777,             727,              0,
   1272,  15,               489,             439,              0,
   1325,   7,               372,             322,              0,
   1378,   7,               322,             272,              0,
   1431,   5,               727,             677,              0,
   1484,   1,               585,             535,              0,
   1537,  17,               364,             314,              0,
   1590,  17,               314,             264,              0,
   1643,   5,               677,             627,              0,
   1696,  14,               714,             664,              0,
   1749,   7,               272,             222,              0,
   1802,  15,               439,             389,              0,
   1855,   2,               922,             872,              0,
   1908,  10,               702,             652,              0,
   1961,  19,                21,               0,           1982,
   1985,  18,               346,             296,              0,
   2038,  18,               296,             246,              0,
   2091,   4,               583,             533,              0,
   2144,   2,               872,             822,              0,
   2197,  14,               664,             614,              0,
   2250,  11,               792,             742,              0,
   2303,  17,               264,             214,              0,
   2356,   8,               465,             415,              0,
   2409,   6,               256,             206,              0,
   2462,   4,               533,             483,              0,
   2515,   8,               415,             365,              0,
   2568,  15,               389,             339,              0,
   2621,   6,               206,             156,              0,
   2674,   2,               822,             772,              0,
   2727,  17,               214,             164,              0,
   2780,  11,               742,             692,              0,
   2833,   8,               365,             315,              0,
   2886,   5,               627,             577,              0,
   2939,   8,               315,             265,              0,
   2992,   8,               265,             215,              0,
   3045,   5,               577,             527,              0,
   3098,  17,               164,             114,              0,
   3151,   2,               772,             722,              0,
   3204,   3,               942,             892,              0,
   3257,  14,               614,             564,              0,
   3310,   2,               722,             672,              0,
   3363,  12,               919,             869,              0,
